ing_id,std_name,lv1,lv2,freq,matched_kca,matched_agrofood,matched_any_reference,agro_category_ref,kca_category_ref,상품명,가격,단위,단위_수치,단위_문자,score,url
M10362,모짜렐라슬라이스,기타,기타,3,FALSE,FALSE,FALSE,,,"모짜렐라슬라이스,400g,썬리치,냉동",11472,400g,400,g,3.5,https://www.foodspring.co.kr/goods/detail/971793
M10392,쓰리라차,기타,기타,3,FALSE,FALSE,FALSE,,,쓰리라차(매운 몬 295ml),9224,295ml,295,ml,3.5,https://www.foodspring.co.kr/goods/detail/503157
M10412,망고스틴,과일·견과,과일,3,FALSE,TRUE,TRUE,,,"망고스틴(상품,냉동,타이)",5872,500g,500,g,3.5,https://www.foodspring.co.kr/goods/detail/695323
M10512,크럼블,기타,기타,3,FALSE,FALSE,FALSE,,,크럼블(로투스/벨기에/상온/750g)ea,8184,750g,750,g,3.4,https://www.foodspring.co.kr/goods/detail/966150
M10782,갈릭파슬리,채소류,양념채소,2,FALSE,FALSE,FALSE,,,카르멘시타 갈릭파슬리 시즈닝 55g,2864,55g,55,g,1.5,https://www.foodspring.co.kr/goods/detail/90581
M10852,자연산,기타,기타,2,FALSE,FALSE,FALSE,,,자연산 건다시마70g 1개,1416,70g,70,g,3.5,https://www.foodspring.co.kr/goods/detail/7282
M10942,간고등어,,,2,FALSE,TRUE,TRUE,,,간고등어 20마리 중 [국내산],28000,4.2kg,4.2,kg,3.5,https://www.foodspring.co.kr/goods/detail/486432
M10962,스크래퍼,기타,기타,2,FALSE,FALSE,FALSE,,,베니스 스크래퍼(초코렛용) 오렌지,4880,1EA,1,EA,1.5,https://www.foodspring.co.kr/goods/detail/784629
M11122,부대찌개콩,기타,기타,2,FALSE,FALSE,FALSE,,,베이키드빈스 부대찌개콩 420g,1512,420g,420,g,1.5,https://www.foodspring.co.kr/goods/detail/891124
M11152,팥빙수떡,곡류·면,떡,2,FALSE,FALSE,FALSE,,,스위트웰 빙수떡 200g 찹쌀 팥빙수떡,2928,200g,200,g,1.45,https://www.foodspring.co.kr/goods/detail/462238
M11252,활낙지,어패류,두족류,2,FALSE,FALSE,FALSE,,,활낙지 850g 3미 냉동낙지 300up,9600,850g,850,g,3.4,https://www.foodspring.co.kr/goods/detail/450063
M11312,장마,기타,기타,2,FALSE,FALSE,FALSE,,,장마(국내산) 1kg,13360,1kg,1,kg,3.5,https://www.foodspring.co.kr/goods/detail/716314
