ing_id,std_name,lv1,lv2,freq,matched_kca,matched_agrofood,matched_any_reference,agro_category_ref,kca_category_ref,std_name_2nd,source_file,std_name_normalized,상품명,가격,단위,단위_수치,단위_문자,score,url
M09991,콜라한,,,3,False,False,False,,,콜라한,완4,,쫄깃 담백한 콜라겐 가득 한우소머리수육,16720,300g,300.0,g,1.45,https://www.foodspring.co.kr/goods/detail/876792
M10295,볶음춘,,,3,False,False,False,,,볶음춘,완7,볶음춘,"볶음춘장, 2Kg, 면사랑, 냉장",7640,2Kg,2.0,Kg,3.5,https://www.foodspring.co.kr/goods/detail/651779
M10365,호박큐브,채소류,열매채소,3,False,True,True,,,호박큐브,완7,호박큐브,손질된 냉동 단호박 5kg 큐브 다이스,10240,5kg,5.0,kg,1.45,https://www.foodspring.co.kr/goods/detail/448930
M10445,연유버터스프레드,유제품,버터,3,False,False,False,,,연유버터스프레드,완7,연유버터스프레드,삼립 연유 버터 스프레드 500g,5232,500g,500.0,g,6.5,https://www.foodspring.co.kr/goods/detail/753368
M10460,육수용재료,양념·기름,액젓·국물조미료,3,False,False,False,,,육수용재료,완10,,국산 디포리 국물용 육수용 밴댕이 250g 국산디포리 식자재 식당용 가정용 건어물 육수재료,13368,250g,250.0,g,0.0,https://www.foodspring.co.kr/goods/detail/707267
M10514,호두,과일·견과,견과·씨앗,3,False,True,True,,,호두,완1,,호두 분태 (미국) 150g,2400,150g,150.0,g,3.5,https://www.foodspring.co.kr/goods/detail/749476
M10716,삼겹살,,,2,False,False,False,,,삼겹살,완2,,냉동 삼겹살 1kg 7mm 슬라이스,9520,1kg,1.0,kg,2.5,https://www.foodspring.co.kr/goods/detail/951107
M10725,비빔고추,,,2,False,False,False,,,비빔고추,완7,비빔고추,비빔고추장(움트리)2kg,9064,2kg,2.0,kg,3.5,https://www.foodspring.co.kr/goods/detail/846288
M10963,초코크런키,기타,기타,2,False,False,False,,,초코크런키,완6,,이츠웰 오곡초코크런키바(30g*12개 360g/EA),6000,30g,30.0,g,1.05,https://www.foodspring.co.kr/goods/detail/404076
M10964,인스턴트커피,기타,기타,2,False,False,False,,,인스턴트커피,완1,,YJ_G7블랙 인스턴트커피(2G*15입 30g/EA),2813,2G,2.0,G,1.05,https://www.foodspring.co.kr/goods/detail/871226
